sentence	token	label
	sub	B-LOC
	-	I-LOC
	Saharan	I-LOC
	.	O
	stop-x	stop-x
		
	This	O
	Kiswahili	B-ORG
	saying	O
	watu	O
	","	O
	watu	O
	wengi	O
	lakini	O
	binadamu	O
	wachache	O
	","	O
	fits	O
	this	O
	story	O
	.	O
	My	O
	friend	O
	victor	B-MINR
	and	O
	his	O
	brother	O
	lost	O
	their	O
	parents	O
	when	O
	they	O
	were	O
	young	O
	they	O
	had	O
	nobody	O
	to	O
	take	O
	care	O
	of	O
	them	O
	their	O
	aunt	O
	took	O
	them	O
	and	O
	went	O
	to	O
	stay	O
	with	O
	them	O
	","	O
	she	O
	took	O
	the	O
	challenge	O
	to	O
	live	O
	with	O
	them	O
	and	O
	her	O
	children	O
	they	O
	were	O
	taken	O
	care	O
	very	O
	well	O
	now	O
	Victor	B-MINR
	is	O
	a	O
	grown	O
	teenager	O
	in	O
	high	O
	school	O
	.	O
	May	O
	God	O
	bless	O
	her	O
	and	O
	her	O
	husband	O
	and	O
	Victor	B-MINR
	has	O
	promised	O
	to	O
	make	O
	their	O
	face	O
	smile	O
	.	O
	stop-x	stop-x
		
	Stealing	O
	is	O
	the	O
	taking	O
	of	O
	someone	O
	's	O
	property	O
	when	O
	he	O
	or	O
	she	O
	is	O
	not	O
	around	O
	or	O
	aware	O
	.	O
	Stealing	O
	leads	O
	to	O
	the	O
	death	O
	of	O
	many	O
	people	O
	because	O
	when	O
	thieves	O
	are	O
	caught	O
	they	O
	are	O
	burnt	O
	or	O
	stoned	O
	to	O
	death	O
	by	O
	the	O
	mob	O
	.	O
	When	O
	I	O
	was	O
	in	O
	class	O
	eight	O
	I	O
	had	O
	a	O
	friend	O
	of	O
	mine	O
	known	O
	as	O
	Kiala	B-MINR
	.	O
	Kiala	B-MINR
	was	O
	the	O
	class	O
	thief	O
	but	O
	nobody	O
	knew	O
	expect	O
	me	O
	.	O
	I	O
	tried	O
	to	O
	guide	O
	him	O
	and	O
	he	O
	refused	O
	and	O
	continued	O
	with	O
	his	O
	daily	O
	activity	O
	.	O
	KIala	B-MINR
	continued	O
	with	O
	his	O
	bad	O
	career	O
	and	O
	now	O
	he	O
	would	O
	even	O
	snatch	O
	valuable	O
	goods	O
	from	O
	strangers	O
	and	O
	run	O
	away	O
	.	O
	One	O
	day	O
	when	O
	we	O
	were	O
	going	O
	home	O
	from	O
	school	O
	Kiala	B-MINR
	saw	O
	an	O
	old	O
	woman	O
	in	O
	front	O
	of	O
	us	O
	carrying	O
	a	O
	phone	O
	.	O
	He	O
	left	O
	me	O
	behind	O
	and	O
	ran	O
	towards	O
	the	O
	old	O
	woman	O
	's	O
	hand	O
	and	O
	robbed	O
	her	O
	the	O
	phone	O
	.	O
	The	O
	old	O
	woman	O
	screamed	O
	loudly	O
	and	O
	the	O
	villagers	O
	who	O
	were	O
	around	O
	this	O
	place	O
	caught	O
	Kiara	B-MINR
	.	O
	Kiara	B-MINR
	was	O
	beaten	O
	properly	O
	before	O
	taken	O
	to	O
	the	O
	chief	O
	.	O
	I	O
	ran	O
	and	O
	left	O
	him	O
	behind	O
	.	O
	The	O
	chief	O
	gave	O
	him	O
	twenty	O
	strokes	O
	of	O
	cane	O
	.	O
	Since	O
	that	O
	day	O
	kiala	B-MINR
	changed	O
	his	O
	habit	O
	of	O
	stealing	O
	.	O
	stop-x	stop-x
		
	Njuguna	B-MINR
	","	O
	a	O
	corrupted	O
	young	O
	man	O
	with	O
	infinite	O
	potential	O
	","	O
	decided	O
	to	O
	join	O
	a	O
	gang	O
	of	O
	robbers	O
	after	O
	he	O
	drooped	O
	out	O
	of	O
	school	O
	when	O
	he	O
	was	O
	in	O
	form	O
	III	O
	.	O
	St	B-ORG
	.	I-ORG
	Paul	I-ORG
	in	O
	the	O
	year	O
	2007	O
	.	O
	The	O
	boy	O
	did	O
	not	O
	want	O
	to	O
	go	O
	to	O
	school	O
	again	O
	because	O
	the	O
	company	O
	he	O
	had	O
	joined	O
	.	O
	His	O
	parents	O
	were	O
	very	O
	rich	O
	and	O
	they	O
	did	O
	not	O
	want	O
	any	O
	child	O
	to	O
	drop	O
	out	O
	of	O
	school	O
	because	O
	they	O
	were	O
	full	O
	of	O
	everything	O
	.	O
	One	O
	day	O
	Njuguna	B-MINR
	decided	O
	to	O
	travel	O
	out	O
	of	O
	the	O
	country	O
	and	O
	went	O
	to	O
	Australia	B-LOC
	without	O
	informing	O
	his	O
	parents	O
	there	O
	in	O
	Australia	B-LOC
	the	O
	boy	O
	decided	O
	to	O
	broke	O
	into	O
	neighbours	O
	houses	O
	where	O
	he	O
	steals	O
	many	O
	things	O
	.	O
	Then	O
	later	O
	the	O
	neighbours	O
	took	O
	him	O
	to	O
	the	O
	jailed	O
	.	O
	Three	O
	days	O
	ago	O
	his	O
	parents	O
	were	O
	searching	O
	for	O
	her	O
	but	O
	he	O
	was	O
	no	O
	where	O
	to	O
	be	O
	found	O
	then	O
	later	O
	the	O
	braking	O
	news	O
	came	O
	that	O
	the	O
	child	O
	was	O
	jailed	O
	.	O
	They	O
	decided	O
	to	O
	go	O
	to	O
	pay	O
	what	O
	was	O
	needed	O
	and	O
	their	O
	child	O
	was	O
	found	O
	.	O
	stop-x	stop-x
		
	She	O
	could	O
	be	O
	a	O
	drunkard	O
	","	O
	there	O
	's	O
	a	O
	couple	O
	that	O
	spent	O
	the	O
	entire	O
	night	O
	at	O
	a	O
	club	O
	the	O
	other	O
	Saturday	O
	.	O
	Nothing	O
	weird	O
	about	O
	that	O
	.	O
	That	O
	's	O
	what	O
	Saturday	O
	are	O
	for	O
	clubbing	O
	","	O
	drinking	O
	and	O
	maybe	O
	a	O
	little	O
	hanky	O
	panky	O
	later	O
	on	O
	.	O
	This	O
	particular	O
	couple	O
	however	O
	spent	O
	the	O
	entire	O
	night	O
	staring	O
	into	O
	each	O
	other	O
	's	O
	eyes	O
	and	O
	holding	O
	hands	O
	like	O
	a	O
	pair	O
	of	O
	high	O
	school	O
	love	O
	birds	O
	.	O
	How	O
	nice	O
	!	O
	Unfortunately	O
	","	O
	they	O
	both	O
	happen	O
	to	O
	be	O
	certified	O
	drunkards	O
	","	O
	Mututho	B-ADLT
	's	O
	damnable	O
	law	O
	notwithstanding	O
	.	O
	The	O
	dude	O
	was	O
	on	O
	Tusker	O
	and	O
	the	O
	lady	O
	on	O
	something	O
	imported	O
	.	O
	stop-x	stop-x
		
	In	O
	kibera	B-LOC
	there	O
	is	O
	a	O
	club	O
	known	O
	as	O
	OB	B-ORG
	-	I-ORG
	OG	I-ORG
	club	I-ORG
	which	O
	is	O
	located	O
	in	O
	mashimoni	B-ORG
	Magoso	I-ORG
	school	I-ORG
	OB	B-ORG
	-	I-ORG
	OG	I-ORG
	club	I-ORG
	educates	O
	young	O
	girls	O
	and	O
	boys	O
	from	O
	primary	O
	school	O
	to	O
	secondary	O
	school	O
	.	O
	The	O
	club	O
	is	O
	changing	O
	the	O
	lives	O
	of	O
	many	O
	youths	O
	and	O
	some	O
	of	O
	those	O
	who	O
	were	O
	educated	O
	by	O
	this	O
	club	O
	are	O
	now	O
	big	O
	people	O
	and	O
	have	O
	jobs	O
	.	O
	Apart	O
	from	O
	educating	O
	people	O
	it	O
	also	O
	entails	O
	singing	O
	","	O
	dancing	O
	and	O
	recording	O
	the	O
	songs	O
	in	O
	CDs	O
	and	O
	tapes	O
	.	O
	OB	B-ORG
	-	I-ORG
	OG	I-ORG
	club	I-ORG
	is	O
	managed	O
	by	O
	a	O
	Japanese	O
	woman	O
	who	O
	loves	O
	young	O
	boys	O
	and	O
	girls	O
	.	O
	This	O
	club	O
	also	O
	educate	O
	","	O
	feed	O
	and	O
	help	O
	orphans	O
	because	O
	it	O
	has	O
	one	O
	branch	O
	of	O
	orphans	O
	.	O
	The	O
	big	O
	people	O
	from	O
	eighteen	O
	years	O
	and	O
	above	O
	are	O
	also	O
	taught	O
	carpentry	O
	","	O
	HIV	O
	/	O
	AIDS	O
	awareness	O
	and	O
	there	O
	is	O
	a	O
	tailoring	O
	and	O
	computer	O
	classes	O
	going	O
	on	O
	in	O
	the	O
	compound	O
	.	O
	stop-x	stop-x
		
	Kanyeki	B-MINR
	was	O
	a	O
	student	O
	at	O
	Olkesuke	B-ORG
	primary	I-ORG
	school	I-ORG
	","	O
	he	O
	then	O
	graduated	O
	and	O
	called	O
	to	O
	one	O
	of	O
	the	O
	preforming	O
	schools	O
	in	O
	Rift	B-LOC
	valley	I-LOC
	known	O
	as	O
	Olkejuado	B-ORG
	High	I-ORG
	school	I-ORG
	.	O
	Due	O
	t	O
	financial	O
	instability	O
	her	O
	parent	O
	would	O
	not	O
	afford	O
	the	O
	school	O
	fees	O
	for	O
	his	O
	course	O
	at	O
	high	O
	school	O
	","	O
	so	O
	every	O
	time	O
	he	O
	was	O
	usually	O
	sent	O
	home	O
	for	O
	fees	O
	.	O
	By	O
	the	O
	third	O
	year	O
	course	O
	he	O
	had	O
	a	O
	balance	O
	of	O
	forty	O
	eight	O
	thousand	O
	","	O
	which	O
	the	O
	school	O
	would	O
	not	O
	withstand	O
	with	O
	him	O
	with	O
	a	O
	such	O
	balance	O
	.	O
	He	O
	was	O
	sent	O
	home	O
	","	O
	where	O
	he	O
	had	O
	only	O
	a	O
	single	O
	parent	O
	cause	O
	the	O
	father	O
	had	O
	died	O
	long	O
	ago	O
	since	O
	he	O
	was	O
	in	O
	primary	O
	level	O
	.	O
	due	O
	to	O
	this	O
	her	O
	mother	O
	was	O
	forced	O
	to	O
	go	O
	and	O
	smash	O
	stone	O
	","	O
	which	O
	she	O
	sold	O
	to	O
	pay	O
	for	O
	kanyekis	B-MINR
	fee	O
	.	O
	During	O
	the	O
	year	O
	Kanyeki	B-MINR
	was	O
	unable	O
	to	O
	be	O
	paid	O
	for	O
	the	O
	fees	O
	for	O
	the	O
	fourth	O
	course	O
	.	O
	He	O
	therefore	O
	explained	O
	the	O
	problem	O
	to	O
	the	O
	class	O
	teacher	O
	and	O
	the	O
	class	O
	teacher	O
	told	O
	the	O
	principal	O
	","	O
	by	O
	which	O
	the	O
	principal	O
	refused	O
	and	O
	after	O
	this	O
	information	O
	came	O
	to	O
	the	O
	recognition	O
	of	O
	the	O
	teacher	O
	","	O
	he	O
	was	O
	contributed	O
	for	O
	those	O
	fees	O
	.	O
	After	O
	the	O
	results	O
	Kanyeki	B-MINR
	emerged	O
	the	O
	top	O
	in	O
	the	O
	Rift	B-LOC
	-	I-LOC
	Valley	I-LOC
	province	I-LOC
	which	O
	in	O
	our	O
	surprise	O
	was	O
	all	O
	away	O
	from	O
	school	O
	.	O
	Now	O
	Kanyeki	B-MINR
	has	O
	been	O
	taken	O
	By	O
	equity	B-ORG
	to	O
	work	O
	before	O
	proceeding	O
	to	O
	a	O
	more	O
	higher	O
	learning	O
	institution	O
	.	O
	stop-x	stop-x
		
	Over	O
	the	O
	past	O
	two	O
	months	O
	","	O
	through	O
	the	O
	media	O
	from	O
	different	O
	persons	O
	","	O
	newspapers	O
	made	O
	crystal	O
	clear	O
	that	O
	Kenya	B-LOC
	is	O
	starving	O
	.	O
	In	O
	the	O
	past	O
	it	O
	has	O
	been	O
	up	O
	to	O
	the	O
	government	O
	but	O
	this	O
	time	O
	round	O
	it	O
	is	O
	another	O
	case	O
	where	O
	by	O
	people	O
	.	O
	bob	B-ADLT
	Cullimore	I-ADLT
	Safaricom	B-ORG
	CEO	O
	came	O
	out	O
	in	O
	the	O
	awake	O
	Kenyans	O
	and	O
	shared	O
	and	O
	showed	O
	them	O
	how	O
	to	O
	solve	O
	their	O
	own	O
	problems	O
	and	O
	solutions	O
	he	O
	has	O
	been	O
	able	O
	to	O
	mobilize	O
	Kenyans	O
	through	O
	his	O
	move	O
	of	O
	Kenya	B-ORG
	for	I-ORG
	Kenyans	I-ORG
	where	O
	they	O
	have	O
	group	O
	sourced	O
	donations	O
	to	O
	buy	O
	food	O
	and	O
	feed	O
	the	O
	people	O
	at	O
	turkland	B-LOC
	who	O
	we	O
	are	O
	faced	O
	with	O
	hunger	O
	.	O
	stop-x	stop-x
		
	Prisca	B-ADLT
	Awinja	I-ADLT
	brought	O
	a	O
	project	O
	(	O
	KRA	B-ORG
	)	O
	","	O
	Kenya	B-ORG
	Rain	I-ORG
	water	I-ORG
	Association	I-ORG
	to	O
	help	O
	the	O
	community	O
	in	O
	conservation	O
	of	O
	water	O
	.	O
	The	O
	project	O
	was	O
	funded	O
	by	O
	Swedish	B-ORG
	International	I-ORG
	Development	I-ORG
	Agency	I-ORG
	.	O
	The	O
	project	O
	helped	O
	the	O
	community	O
	through	O
	the	O
	support	O
	of	O
	the	O
	founder	O
	to	O
	build	O
	tankers	O
	in	O
	order	O
	to	O
	conserve	O
	rainwater	O
	for	O
	domestic	O
	use	O
	.	O
	Over	O
	three	O
	thousand	O
	villagers	O
	benefited	O
	from	O
	the	O
	project	O
	.	O
	the	O
	project	O
	took	O
	place	O
	in	O
	Rongo	B-LOC
	constituency	I-LOC
	","	I-LOC
	Migori	I-LOC
	County	I-LOC
	","	I-LOC
	Nyanza	I-LOC
	province	I-LOC
	.	O
	stop-x	stop-x
		
	There	O
	was	O
	a	O
	boy	O
	living	O
	up	O
	country	O
	by	O
	a	O
	name	O
	called	O
	Washington	B-MINR
	Ochieng	I-MINR
	.	O
	His	O
	parents	O
	died	O
	when	O
	he	O
	was	O
	still	O
	young	O
	.	O
	But	O
	CARE	B-ORG
	KENYA	I-ORG
	has	O
	helped	O
	him	O
	.	O
	He	O
	has	O
	a	O
	good	O
	health	O
	CARE	B-ORG
	KENYA	I-ORG
	has	O
	also	O
	paid	O
	for	O
	him	O
	school	O
	fees	O
	since	O
	Baby	O
	class	O
	up	O
	to	O
	now	O
	.	O
	He	O
	has	O
	been	O
	given	O
	shoes	O
	","	O
	uniform	O
	and	O
	bag	O
	.	O
	''	O
	The	O
	boy	O
	thanks	O
	CARE	B-ORG
	KENYA	I-ORG
	for	O
	what	O
	they	O
	have	O
	done	O
	for	O
	him	O
	.	O
	He	O
	also	O
	tells	O
	them	O
	to	O
	continue	O
	helping	O
	other	O
	children	O
	who	O
	needs	O
	their	O
	help	O
	.	O
	Now	O
	the	O
	boy	O
	is	O
	in	O
	class	O
	one	O
	","	O
	next	O
	year	O
	he	O
	will	O
	be	O
	in	O
	class	O
	two	O
	","	O
	he	O
	asked	O
	the	O
	CARE	B-ORG
	KENYA	I-ORG
	to	O
	pay	O
	for	O
	him	O
	school	O
	fees	O
	until	O
	when	O
	he	O
	will	O
